,subdivision_id,division_id,name,local_name
111,56365,7,Kabupaten Boalemo,Kabupaten Boalemo
112,56375,7,Kabupaten Bone Bolango,Kabupaten Bone Bolango
113,56410,7,Kabupaten Gorontalo,Kabupaten Gorontalo
114,56411,7,Kabupaten Gorontalo Utara,Kabupaten Gorontalo Utara
115,56595,7,Kabupaten Pohuwato,Kabupaten Pohuwato
116,56753,7,Kota Gorontalo,Kota Gorontalo
117,56214,8,Bejubang Dua,Bejubang Dua
118,56294,8,Jambi City,Jambi City
119,56347,8,Kabupaten Batang Hari,Kabupaten Batang Hari
120,56382,8,Kabupaten Bungo,Kabupaten Bungo
121,56458,8,Kabupaten Kerinci,Kabupaten Kerinci
122,56532,8,Kabupaten Merangin,Kabupaten Merangin
123,56543,8,Kabupaten Muaro Jambi,Kabupaten Muaro Jambi
124,56618,8,Kabupaten Sarolangun,Kabupaten Sarolangun
125,56668,8,Kabupaten Tanjung Jabung Barat,Kabupaten Tanjung Jabung Barat
126,56669,8,Kabupaten Tanjung Jabung Timur,Kabupaten Tanjung Jabung Timur
127,56675,8,Kabupaten Tebo,Kabupaten Tebo
128,56755,8,Kota Jambi,Kota Jambi
129,56802,8,Kota Sungai Penuh,Kota Sungai Penuh
130,56822,8,Kuala Tungkal,Kuala Tungkal
131,56869,8,Mendaha,Mendaha
132,56978,8,Simpang,Simpang
133,57008,8,Sungai Penuh,Sungai Penuh
134,56182,9,Arjawinangun,Arjawinangun
135,56183,9,Astanajapura,Astanajapura
136,56196,9,Bandung,Bandung
137,56199,9,Banjar,Banjar
138,56202,9,Banjaran,Banjaran
139,56215,9,Bekasi,Bekasi
140,56226,9,Bogor,Bogor
141,56237,9,Caringin,Caringin
142,56240,9,Ciamis,Ciamis
143,56241,9,Ciampea,Ciampea
144,56242,9,Cibinong,Cibinong
145,56243,9,Cicurug,Cicurug
146,56244,9,Cikampek,Cikampek
147,56245,9,Cikarang,Cikarang
148,56246,9,Cikupa,Cikupa
149,56247,9,Cileungsir,Cileungsir
150,56248,9,Cileunyi,Cileunyi
151,56249,9,Cimahi,Cimahi
152,56250,9,Ciputat,Ciputat
153,56251,9,Ciranjang-hilir,Ciranjang-hilir
154,56252,9,Cirebon,Cirebon
155,56253,9,Citeureup,Citeureup
156,56265,9,Depok,Depok
157,56291,9,Indramayu,Indramayu
158,56296,9,Jatibarang,Jatibarang
159,56298,9,Jatiwangi,Jatiwangi
160,56324,9,Kabupaten Bandung,Kabupaten Bandung
161,56325,9,Kabupaten Bandung Barat,Kabupaten Bandung Barat
162,56349,9,Kabupaten Bekasi,Kabupaten Bekasi
163,56366,9,Kabupaten Bogor,Kabupaten Bogor
164,56390,9,Kabupaten Ciamis,Kabupaten Ciamis
165,56391,9,Kabupaten Cianjur,Kabupaten Cianjur
166,56393,9,Kabupaten Cirebon,Kabupaten Cirebon
167,56407,9,Kabupaten Garut,Kabupaten Garut
168,56426,9,Kabupaten Indramayu,Kabupaten Indramayu
169,56440,9,Kabupaten Karawang,Kabupaten Karawang
170,56474,9,Kabupaten Kuningan,Kabupaten Kuningan
171,56508,9,Kabupaten Majalengka,Kabupaten Majalengka
172,56575,9,Kabupaten Pangandaran,Kabupaten Pangandaran
173,56606,9,Kabupaten Purwakarta,Kabupaten Purwakarta
174,56644,9,Kabupaten Subang,Kabupaten Subang
175,56645,9,Kabupaten Sukabumi,Kabupaten Sukabumi
176,56654,9,Kabupaten Sumedang,Kabupaten Sumedang
177,56674,9,Kabupaten Tasikmalaya,Kabupaten Tasikmalaya
178,56698,9,Karangampel,Karangampel
179,56700,9,Karangsembung,Karangsembung
180,56704,9,Kawalu,Kawalu
181,56718,9,Klangenan,Klangenan
182,56731,9,Kota Bandung,Kota Bandung
183,56732,9,Kota Banjar,Kota Banjar
184,56738,9,Kota Bekasi,Kota Bekasi
185,56744,9,Kota Bogor,Kota Bogor
186,56748,9,Kota Cimahi,Kota Cimahi
187,56749,9,Kota Cirebon,Kota Cirebon
188,56751,9,Kota Depok,Kota Depok
189,56801,9,Kota Sukabumi,Kota Sukabumi
190,56809,9,Kota Tasikmalaya,Kota Tasikmalaya
191,56819,9,Kresek,Kresek
192,56825,9,Kuningan,Kuningan
193,56842,9,Lembang,Lembang
194,56852,9,Majalengka,Majalengka
195,56861,9,Margahayukencana,Margahayukencana
196,56886,9,Ngawi,Ngawi
197,56892,9,Padalarang,Padalarang
198,56899,9,Palimanan,Palimanan
199,56902,9,Pamanukan,Pamanukan
200,56904,9,Pameungpeuk,Pameungpeuk
201,56905,9,Pamulang,Pamulang
202,56918,9,Parung,Parung
203,56919,9,Pasarkemis,Pasarkemis
204,56920,9,Paseh,Paseh
205,56928,9,Pelabuhanratu,Pelabuhanratu
206,56934,9,Plumbon,Plumbon
207,56945,9,Purwakarta,Purwakarta
208,56948,9,Rajapolah,Rajapolah
209,56954,9,Rengasdengklok,Rengasdengklok
210,56962,9,Sawangan,Sawangan
211,56968,9,Sepatan,Sepatan
212,56971,9,Serpong,Serpong
213,56980,9,Singaparna,Singaparna
214,56994,9,Soreang,Soreang
215,57001,9,Sukabumi,Sukabumi
216,57003,9,Sumber,Sumber
217,57005,9,Sumedang,Sumedang
218,57006,9,Sumedang Utara,Sumedang Utara
219,57025,9,Tasikmalaya,Tasikmalaya
220,57030,9,Teluknaga,Teluknaga
221,57050,9,Wanaraja,Wanaraja
222,57056,9,Weru,Weru
223,56174,10,Adiwerna,Adiwerna
